20,100
20.02,97
20.04,82
20.06,123
20.08,90
20.1,88
20.12,93
20.14,113
20.16,130
20.18,85
20.2,92
20.22,98
20.24,87
20.26,85
20.28,93
20.3,92
20.32,77
20.34,102
20.36,90
20.38,98
20.4,78
20.42,85
20.44,90
20.46,110
20.48,70
20.5,95
20.52,87
20.54,87
20.56,127
20.58,102
20.6,88
20.62,102
20.64,97
20.66,103
20.68,120
20.7,95
20.72,110
20.74,100
20.76,95
20.78,90
20.8,85
20.82,87
20.84,102
20.86,77
20.88,80
20.9,93
20.92,95
20.94,105
20.96,107
20.98,123
21,93
21.02,93
21.04,67
21.06,78
21.08,87
21.1,78
21.12,75
21.14,78
21.16,92
21.18,98
21.2,93
21.22,98
21.24,100
21.26,103
21.28,90
21.3,93
21.32,103
21.34,100
21.36,93
21.38,93
21.4,103
21.42,120
21.44,90
21.46,87
21.48,85
21.5,90
21.52,85
21.54,87
21.56,93
21.58,85
21.6,97
21.62,100
21.64,93
21.66,82
21.68,102
21.7,118
21.72,78
21.74,102
21.76,100
21.78,80
21.8,113
21.82,88
21.84,78
21.86,103
21.88,107
21.9,75
21.92,102
21.94,85
21.96,83
21.98,102
22,80
22.02,98
22.04,85
22.06,97
22.08,95
22.1,105
22.12,123
22.14,113
22.16,92
22.18,102
22.2,98
22.22,92
22.24,85
22.26,108
22.28,108
22.3,78
22.32,113
22.34,92
22.36,93
22.38,107
22.4,115
22.42,105
22.44,117
22.46,110
22.48,103
22.5,103
22.52,100
22.54,97
22.56,83
22.58,102
22.6,112
22.62,100
22.64,87
22.66,92
22.68,100
22.7,113
22.72,80
22.74,110
22.76,87
22.78,122
22.8,113
22.82,92
22.84,63
22.86,102
22.88,107
22.9,108
22.92,100
22.94,117
22.96,108
22.98,87
23,88
23.02,103
23.04,98
23.06,85
23.08,97
23.1,92
23.12,110
23.14,113
23.16,90
23.18,87
23.2,87
23.22,102
23.24,88
23.26,100
23.28,80
23.3,108
23.32,103
23.34,103
23.36,87
23.38,105
23.4,87
23.42,90
23.44,100
23.46,90
23.48,92
23.5,90
23.52,83
23.54,77
23.56,87
23.58,95
23.6,107
23.62,88
23.64,108
23.66,93
23.68,95
23.7,98
23.72,73
23.74,95
23.76,107
23.78,95
23.8,88
23.82,108
23.84,95
23.86,108
23.88,83
23.9,75
23.92,92
23.94,92
23.96,83
23.98,105
24,107
24.02,78
24.04,97
24.06,120
24.08,112
24.1,105
24.12,98
24.14,78
24.16,95
24.18,83
24.2,98
24.22,107
24.24,95
24.26,117
24.28,97
24.3,87
24.32,98
24.34,98
24.36,110
24.38,102
24.4,92
24.42,93
24.44,92
24.46,97
24.48,82
24.5,117
24.52,93
24.54,95
24.56,85
24.58,73
24.6,80
24.62,75
24.64,82
24.66,102
24.68,90
24.7,115
24.72,87
24.74,82
24.76,77
24.78,100
24.8,118
24.82,78
24.84,92
24.86,83
24.88,88
24.9,98
24.92,87
24.94,90
24.96,103
24.98,102
25,87
25.02,92
25.04,118
25.06,115
25.08,80
25.1,97
25.12,75
25.14,77
25.16,80
25.18,72
25.2,93
25.22,82
25.24,73
25.26,87
25.28,103
25.3,100
25.32,78
25.34,93
25.36,68
25.38,92
25.4,102
